start
[74.929, 0.138, 7.744, 6.126, 1.616, 8.283, 1.164]
[77.968, 0.121, 7.155, 6.357, 1.165, 6.215, 1.02]
[77.968, 0.121, 7.155, 6.357, 1.165, 6.215, 1.02]
[77.968, 0.121, 7.155, 6.357, 1.165, 6.215, 1.02]
[66.894, 0.271, 10.478, 15.154, 3.779, 3.153, 0.271]
[66.894, 0.271, 10.478, 15.154, 3.779, 3.153, 0.271]
[59.523, 0.219, 8.218, 14.719, 10.094, 6.292, 0.935]
[59.872, 0.251, 10.234, 12.841, 10.662, 5.55, 0.589]
[59.872, 0.251, 10.234, 12.841, 10.662, 5.55, 0.589]
[69.002, 0.239, 10.954, 8.003, 6.555, 4.79, 0.457]
[62.321, 0.224, 17.432, 9.222, 7.158, 3.318, 0.325]
[62.321, 0.224, 17.432, 9.222, 7.158, 3.318, 0.325]
[62.321, 0.224, 17.432, 9.222, 7.158, 3.318, 0.325]
[62.321, 0.224, 17.432, 9.222, 7.158, 3.318, 0.325]
[57.73, 0.293, 5.198, 21.152, 8.544, 6.096, 0.987]
[59.321, 0.274, 7.154, 18.818, 8.039, 5.626, 0.768]
[82.255, 0.105, 10.119, 0.717, 0.517, 4.314, 1.973]
[82.255, 0.105, 10.119, 0.717, 0.517, 4.314, 1.973]
[88.258, 0.08, 5.078, 2.458, 0.616, 3.133, 0.377]
[67.899, 0.128, 22.104, 0.715, 0.954, 7.406, 0.795]
[67.899, 0.128, 22.104, 0.715, 0.954, 7.406, 0.795]
[67.899, 0.128, 22.104, 0.715, 0.954, 7.406, 0.795]
[67.899, 0.128, 22.104, 0.715, 0.954, 7.406, 0.795]
[81.519, 0.12, 11.608, 0.805, 1.427, 4.144, 0.378]
[93.31, 0.047, 5.388, 0.242, 0.393, 0.53, 0.09]
[93.31, 0.047, 5.388, 0.242, 0.393, 0.53, 0.09]
[93.31, 0.047, 5.388, 0.242, 0.393, 0.53, 0.09]
[88.552, 0.096, 7.179, 0.873, 1.41, 1.604, 0.286]
[78.102, 0.028, 18.789, 0.318, 0.785, 1.618, 0.36]
[78.102, 0.028, 18.789, 0.318, 0.785, 1.618, 0.36]
[78.102, 0.028, 18.789, 0.318, 0.785, 1.618, 0.36]
[78.102, 0.028, 18.789, 0.318, 0.785, 1.618, 0.36]
[90.205, 0.041, 6.773, 0.437, 1.011, 1.195, 0.338]
[92.318, 0.045, 3.255, 1.132, 1.091, 1.441, 0.718]
[92.318, 0.045, 3.255, 1.132, 1.091, 1.441, 0.718]
[93.153, 0.061, 2.558, 1.336, 1.457, 0.89, 0.544]
[94.232, 0.061, 2.432, 0.866, 0.872, 0.968, 0.569]
[94.232, 0.061, 2.432, 0.866, 0.872, 0.968, 0.569]
[94.232, 0.061, 2.432, 0.866, 0.872, 0.968, 0.569]
[91.036, 0.106, 6.786, 0.325, 0.55, 0.761, 0.435]
[91.036, 0.106, 6.786, 0.325, 0.55, 0.761, 0.435]
[58.367, 0.186, 22.986, 0.742, 1.331, 10.338, 6.05]
[58.367, 0.186, 22.986, 0.742, 1.331, 10.338, 6.05]
[58.367, 0.186, 22.986, 0.742, 1.331, 10.338, 6.05]
[81.088, 0.054, 12.048, 1.119, 2.762, 2.08, 0.848]
[81.088, 0.054, 12.048, 1.119, 2.762, 2.08, 0.848]
[81.088, 0.054, 12.048, 1.119, 2.762, 2.08, 0.848]
[81.088, 0.054, 12.048, 1.119, 2.762, 2.08, 0.848]
[81.088, 0.054, 12.048, 1.119, 2.762, 2.08, 0.848]
[81.088, 0.054, 12.048, 1.119, 2.762, 2.08, 0.848]
[79.436, 0.686, 12.873, 0.561, 1.384, 2.092, 2.967]
